"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-01","0.40","0.0","0.0",,"56","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-02","0.00","0.0","0.0",,"56","46",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-03","0.00","0.0","0.0",,"60","42",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-04","0.00","0.0","0.0",,"64","44",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-05","0.00","0.0","0.0",,"65","45",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-06","0.00","0.0","0.0",,"65","48",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-07","0.00","0.0","0.0",,"66","41",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-08","0.00","0.0","0.0",,"74","47",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-09","0.00","0.0","0.0",,"65","51",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-10","0.00","0.0","0.0",,"68","48",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-11","0.00","0.0","0.0",,"64","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-12","0.00","0.0","0.0",,"67","45",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-13","0.00","0.0","0.0",,"69","53",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-14","0.06","0.0","0.0",,"73","53",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-15","0.00","0.0","0.0",,"57","50",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-16","0.00","0.0","0.0",,"61","48",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-17","0.00","0.0","0.0",,"63","43",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-18","0.00","0.0","0.0",,"64","43",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-19","0.02","0.0","0.0",,"55","45",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-20","0.79","0.0","0.0",,"51","46",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-21","0.02","0.0","0.0",,"57","43",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-22","0.00","0.0","0.0",,"59","41",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-23","0.13","0.0","0.0",,"60","47",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-24","0.00","0.0","0.0",,"53","40",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-25","0.00","0.0","0.0",,"55","35",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-26","0.00","0.0","0.0",,"57","34",
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2017-01-27","0.00","0.0","0.0",,"58","42",
