"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-01",,,"0.64","0.0","0.0","61","49"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-02",,,"0.00","0.0","0.0","59","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-03",,,"0.00","0.0","0.0","59","46"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-04",,,"0.00","0.0","0.0","66","45"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-05",,,"0.00","0.0","0.0","72","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-06",,,"0.00","0.0","0.0","61","45"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-07",,,"0.00","0.0","0.0","63","40"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-08",,,"0.00","0.0","0.0","69","45"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-09",,,"0.00","0.0","0.0","69","50"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-10",,,"0.00","0.0","0.0","69","46"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-11",,,"0.00","0.0","0.0","70","49"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-12",,,"0.00","0.0","0.0","65","49"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-13",,,"0.00","0.0","0.0","67","52"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-14",,,"0.00","0.0","0.0","70","47"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-15",,,"0.00","0.0","0.0","67","51"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-16",,,"0.00","0.0","0.0","66","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-17",,,"0.00","0.0","0.0","66","43"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-18",,,"0.00","0.0","0.0","68","41"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-19",,,"0.01","0.0","0.0","67","51"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-20",,,"0.17","0.0","0.0","64","47"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-21",,,"0.00","0.0","0.0","63","49"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-22",,,"0.00","0.0","0.0","68","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-23",,,"0.00","0.0","0.0","65","49"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-24",,,"0.00","0.0","0.0","60","43"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-25",,,"0.00","0.0","0.0","61","39"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-26",,,"0.00","0.0","0.0","60","38"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-27",,,"0.00","0.0","0.0","59","45"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-28",,,"0.00","0.0","0.0","65","43"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-29",,,"0.00","0.0","0.0","72","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-30",,,"0.00","0.0","0.0","74","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-01-31",,,"0.00","0.0","0.0","75","42"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-01",,,"0.00","0.0","0.0","75","44"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-02",,,"0.00","0.0","0.0","74","45"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-03",,,"0.00","0.0","0.0","75","49"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-04",,,"0.00","0.0","0.0","76","46"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-05",,,"0.00","0.0","0.0","75","47"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-06",,,"0.00","0.0","0.0","71","53"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-07",,,"0.00","0.0","0.0","79","52"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-08",,,"0.00","0.0","0.0","80","52"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-09",,,"0.00","0.0","0.0","83","54"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-10",,,"0.00","0.0","0.0","83","57"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-11",,,"0.02","0.0","0.0","71","61"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-12",,,"0.00","0.0","0.0","75","56"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-13",,,"0.00","0.0","0.0","77","60"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-14",,,"0.00","0.0","0.0","78","56"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-15",,,"0.00","0.0","0.0","79","53"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-16",,,"0.00","0.0","0.0","78","48"
"USW00003125","YUMA PROVING GROUND, AZ US","2017-02-17",,,"0.00","0.0","0.0","74","59"
