"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-01","0.08","0.0",,"52","43","44"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-02","0.18","0.0","0.0","49","43","47"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-03","0.53","0.0","0.0","59","47","58"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-04","0.44","0.0","0.0","62","50","50"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-05","0.03","0.0","0.0",,,
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-06","0.01","0.0","0.0","53","31","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-07","0.74","0.0","0.0","66","48","56"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-08","1.78","0.0","0.0","67","55","60"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-09","0.10","0.0","0.0","60","52","57"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-10","0.71","0.0","0.0","60","56","56"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-11","0.11","0.0",,"56","49","49"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-12","0.12","0.0","0.0","51","43","44"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-13","0.00","0.0","0.0","55","38","44"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-14","0.00","0.0","0.0","55","38","44"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-15","0.00","0.0","0.0","54","38","41"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-16","0.00","0.0","0.0","57","36","41"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-17","0.00","0.0","0.0","56","39","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-18","0.26","0.0","0.0","58","48","55"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-19","0.20","0.0","0.0","57","48","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-20","0.62","0.0","0.0","55","46","46"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-21","0.12","0.0","0.0","56","46","52"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-22","1.22","0.0","0.0","58","45","45"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-23","0.24","0.0","0.0","52","43","43"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-24","0.00",,,"56","39","43"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-25","0.00",,,"54","38","44"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-26","0.00","0.0","0.0","57","41","43"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-27","0.00","0.0","0.0","59","38","43"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-28","0.00","0.0","0.0","66","38","44"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-29","0.00",,,"66","37","43"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-30","0.00","0.0","0.0","68","38","46"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-01-31","0.00","0.0","0.0","63","44","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-02-01","0.08","0.0","0.0","60","46","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2017-02-02","0.11","0.0","0.0","62","50","54"
