Mode,ORegionDAT,DRegionDAT,yearweek,sanitized_cost
R,CA_FRS,IL_CHI,2017-01,1.5654008200186356
R,CA_FRS,IL_CHI,2017-02,1.574480535950802
R,CA_FRS,IL_CHI,2017-03,1.547266629349616
R,CA_FRS,IL_CHI,2017-04,1.490165133588574
R,CA_FRS,IL_CHI,2017-05,1.4627995670867546
R,CA_FRS,IL_CHI,2017-06,1.4500932953334424
R,CA_FRS,IL_CHI,2017-07,1.4203168168123073
R,CA_FRS,IL_CHI,2017-08,1.5205206746713293
R,CA_FRS,IL_CHI,2017-09,1.4028815143075952
R,CA_FRS,IL_CHI,2017-10,1.441905126758749
R,CA_FRS,IL_CHI,2017-11,1.465705685108302
R,CA_FRS,IL_CHI,2017-12,1.4619920179991972
R,CA_FRS,IL_CHI,2017-13,1.4739504801749792
R,CA_FRS,IL_CHI,2017-14,1.5769482842887346
R,CA_FRS,IL_CHI,2017-15,1.6565709884482969
R,CA_FRS,IL_CHI,2017-16,1.6854275360021271
R,CA_FRS,IL_CHI,2017-17,1.657012566907884
R,CA_FRS,IL_CHI,2017-18,1.6173817101834396
R,CA_FRS,IL_CHI,2017-19,1.7227931799624834
R,CA_FRS,IL_CHI,2017-20,1.7342881617574646
R,CA_FRS,IL_CHI,2017-21,1.9502308846708178
R,CA_FRS,IL_CHI,2017-22,1.9514891273389081
R,CA_FRS,IL_CHI,2017-23,2.1536414628201146
R,CA_FRS,IL_CHI,2017-24,2.049965193928426
R,CA_FRS,IL_CHI,2017-25,1.951085961820889
R,CA_FRS,IL_CHI,2017-26,1.9309689183304029
R,CA_FRS,IL_CHI,2017-27,1.9444568355188494
R,CA_FRS,IL_CHI,2017-28,1.8433588243010735
R,CA_FRS,IL_CHI,2017-29,1.8344556785719928
R,CA_FRS,IL_CHI,2017-30,1.8408476757210313
R,CA_FRS,IL_CHI,2017-31,1.7819136264321251
R,CA_FRS,IL_CHI,2017-32,1.771574049772004
R,CA_FRS,IL_CHI,2017-34,1.7232803573549977
R,CA_FRS,IL_CHI,2017-35,1.7529982271216151
R,CA_FRS,IL_CHI,2017-36,1.748399900744797
R,CA_FRS,IL_CHI,2017-38,1.7739001379798114
R,CA_FRS,IL_CHI,2017-39,1.7733114666671428
R,CA_FRS,IL_CHI,2017-40,1.845116300962062
R,CA_FRS,IL_CHI,2017-41,1.793181072861168
R,CA_FRS,IL_CHI,2017-42,1.7305376065409344
R,CA_FRS,IL_CHI,2017-43,1.7126618474176387
R,CA_FRS,IL_CHI,2017-44,1.7553392806045254
R,CA_FRS,IL_CHI,2017-45,1.8306729941301176
R,CA_FRS,IL_CHI,2017-46,2.016541782697674
R,CA_FRS,IL_CHI,2017-47,1.896090459156723
R,CA_FRS,IL_CHI,2017-48,1.8948232123804676
R,CA_FRS,IL_CHI,2017-49,1.9691364139012613
R,CA_FRS,IL_CHI,2017-50,1.9340586000082696
R,CA_FRS,IL_CHI,2017-51,2.090832385036432
R,CA_FRS,IL_CHI,2017-52,2.2839881276902942
R,CA_FRS,IL_CHI,2018-00,1.9390920089370391
R,CA_FRS,IL_CHI,2018-01,2.1736357151095556
R,CA_FRS,IL_CHI,2018-02,2.1044034229715436
R,CA_FRS,IL_CHI,2018-03,1.9476919798112715
R,CA_FRS,IL_CHI,2018-04,1.816809599427216
R,CA_FRS,IL_CHI,2018-05,1.641852491969102
R,CA_FRS,IL_CHI,2018-06,1.590409378828795
R,CA_FRS,IL_CHI,2018-07,1.6194903596957035
R,CA_FRS,IL_CHI,2018-08,1.680215638986793
R,CA_FRS,IL_CHI,2018-09,1.6078936163914093
R,CA_FRS,IL_CHI,2018-11,1.6208739428572074
R,CA_FRS,IL_CHI,2018-12,1.596928187007506
R,CA_FRS,IL_CHI,2018-13,1.7561070002432722
R,CA_FRS,IL_CHI,2018-14,1.9103625820956243
R,CA_FRS,IL_CHI,2018-15,1.966786503329216
R,CA_FRS,IL_CHI,2018-16,2.0759005943657294
R,CA_FRS,IL_CHI,2018-17,2.096956194024837
R,CA_FRS,IL_CHI,2018-18,2.170186892752248
R,CA_FRS,IL_CHI,2018-19,2.2141850179097786
R,CA_FRS,IL_CHI,2018-20,2.263015738783489
R,CA_FRS,IL_CHI,2018-21,2.419379624705179
R,CA_FRS,IL_CHI,2018-22,2.7951057891173017
R,CA_FRS,IL_CHI,2018-23,2.666169231623054
R,CA_FRS,IL_CHI,2018-24,2.5878693095035548
R,CA_FRS,IL_CHI,2018-25,2.6110454874554687
R,CA_FRS,IL_CHI,2018-26,2.5562007031404157
R,CA_FRS,IL_CHI,2018-27,2.343485571158387
R,CA_FRS,IL_CHI,2018-28,2.3065174474587113
R,CA_FRS,IL_CHI,2018-29,2.28857549371085
R,CA_FRS,IL_CHI,2018-30,2.1946066315893207
R,CA_FRS,IL_CHI,2018-31,2.192388425745113
R,CA_FRS,IL_CHI,2018-32,2.1446886590927057
R,CA_FRS,IL_CHI,2018-33,2.0987969351950144
R,CA_FRS,IL_CHI,2018-34,2.1378339647064974
R,CA_FRS,IL_CHI,2018-35,2.159539641888252
R,CA_FRS,IL_CHI,2018-36,2.1184282307558697
R,CA_FRS,IL_CHI,2018-37,2.0946632597627324
R,CA_FRS,IL_CHI,2018-38,2.135035040005305
R,CA_FRS,IL_CHI,2018-39,2.1153208763440077
R,CA_FRS,IL_CHI,2018-40,2.0757198774311956
R,CA_FRS,IL_CHI,2018-41,2.0334710291202938
R,CA_FRS,IL_CHI,2018-42,2.0176125078973657
R,CA_FRS,IL_CHI,2018-43,2.0246954435164755
R,CA_FRS,IL_CHI,2018-44,2.0954562009824436
R,CA_FRS,IL_CHI,2018-45,2.2118829705973475
R,CA_FRS,IL_CHI,2018-46,2.0476053046611353
R,CA_FRS,IL_CHI,2018-47,2.00706238074745
R,CA_FRS,IL_CHI,2018-48,2.0557101873192383
R,CA_FRS,IL_CHI,2018-49,2.0134951732469473
R,CA_FRS,IL_CHI,2018-50,1.9428337087528722
R,CA_FRS,IL_CHI,2018-51,1.9452758716584557
R,CA_FRS,IL_CHI,2019-00,1.952672567832006
R,CA_FRS,IL_CHI,2019-01,1.893033006993909
R,CA_FRS,IL_CHI,2019-02,1.7390783109440293
R,CA_FRS,IL_CHI,2019-03,1.577269627511488
