STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/1/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/4/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/5/16,,,0.21,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/6/16,,,0.74,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/7/16,,,0.62,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/9/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/10/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/11/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/13/16,,,0.01,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/14/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/15/16,,,0.01,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/16/16,,,0.04,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/17/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/18/16,,,0.62,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/19/16,,,0.19,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/20/16,,,0.58,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/21/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/22/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/23/16,,,0.54,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/24/16,,,0.07,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/25/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/26/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/28/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/29/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/30/16,,,0.1,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/31/16,,,0.77,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/1/16,,,0.39,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/4/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/6/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/8/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/9/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/12/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/15/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/16/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/17/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/18/16,,,0.28,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/19/16,,,0.01,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/20/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/21/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/23/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/24/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/26/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/29/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/4/16,,,0.01,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/5/16,,,0.33,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/6/16,,,1.21,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/7/16,,,0.98,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/8/16,,,0.08,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/9/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/10/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/11/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/12/16,,,0.7,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/13/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/14/16,,,0.19,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/18/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/20/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/21/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/22/16,,,0.01,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/23/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/25/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/27/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",3/31/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/5/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/7/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/9/16,,,0.97,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/10/16,,,0.07,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/12/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/13/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/14/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/17/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/18/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/19/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/21/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/22/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/23/16,,,0.24,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/24/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/27/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/28/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/29/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",4/30/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/1/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/2/16,,,0.06,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/4/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/5/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/6/16,,,0.32,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/7/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/9/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/11/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/19/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/20/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/22/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/23/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/28/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/29/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/30/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",5/31/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/4/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/5/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/8/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/10/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/12/16,,,0.09,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/13/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/14/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/16/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/17/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/21/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/22/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/24/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",6/25/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/6/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/8/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/9/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/10/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/12/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/20/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/24/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/30/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",7/31/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/1/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/5/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/8/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/11/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/19/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",8/22/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/1/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/2/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/3/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/4/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/5/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/6/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/7/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/8/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/9/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/11/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/12/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/13/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/14/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/15/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/16/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/18/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/19/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/22/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/25/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",9/30/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/2/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/3/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/6/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/9/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/12/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/14/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/16/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/17/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/19/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/23/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/24/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/25/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/27/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/28/16,,,0.49,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",10/30/16,,,0.01,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/4/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/5/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/7/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/8/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/10/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/11/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/12/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/14/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/16/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/18/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/20/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/21/16,,,0.73,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/22/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/23/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/24/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/25/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/26/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/27/16,,,0.8,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/28/16,,,0.02,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/29/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",11/30/16,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/2/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/3/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/8/16,,,0.3,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/9/16,,,0.2,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/11/16,,,0.09,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/13/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/14/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/15/16,,,0.04,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/19/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/24/16,,,0.41,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/27/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/28/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",12/31/16,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/1/17,,,0.14,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/4/17,,,0.81,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/6/17,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/7/17,,,0.21,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/8/17,,,0.69,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/9/17,,,0.89,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/10/17,,,0.07,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/11/17,,,0.41,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/12/17,,,0.54,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/13/17,,,0.07,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/18/17,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/19/17,,,0.57,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/22/17,,,0.24,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/23/17,,,0.43,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/25/17,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",1/28/17,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/2/17,,,0.05,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/3/17,,,0.13,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/4/17,,,0.45,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/5/17,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/6/17,,,0.15,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/7/17,,,0.18,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/9/17,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/10/17,,,0.38,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/11/17,,,0.4,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/15/17,,,0,0,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/16/17,,,0,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/17/17,,,0.46,,,,,,
US1CAFR0020,"FRESNO 5.9 NNE, CA US",2/18/17,,,0.53,,,,,,
