"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-01","0.10","58","45","52"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-02","0.29","66","52","55"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-03","0.17","60","51","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-04","0.01","57","50","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-05","0.24","62","50","60"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-06","0.23","60","51","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-07","0.36","52","45","45"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-08","0.14","53","44","45"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-09","0.25","56","43","47"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-10","0.13","59","44","45"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-11","0.00","60","41","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-12","0.00","58","49","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-13","0.00","57","43","45"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-14","0.00","61","39","47"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-15","0.00","64","43","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-16","0.00","63","45","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-17","0.00","74","44","52"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-18","0.00","68","49","52"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-19","0.07","65","47","53"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-20","0.68","60","47","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-21","0.00","59","44","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-22","0.12","61","47","54"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-23","0.30","60","47","48"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-24","0.00","62","43","49"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-25","0.03","70","44","55"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-26","0.01","63","52","61"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-27","0.01","65","51","52"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-28","0.07","63","47","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-29","0.04","60","46","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-30","0.00","61","45","51"
"USC00045802","MONTEREY WEATHER FORECAST OFFICE, CA US","2019-03-31","0.00","63","47","55"
"USC00045795","MONTEREY, CA US","2019-03-01","0.01","58","44","52"
"USC00045795","MONTEREY, CA US","2019-03-02","0.51","64","51","53"
"USC00045795","MONTEREY, CA US","2019-03-03","0.40","58","52","52"
"USC00045795","MONTEREY, CA US","2019-03-04","0.07","58","48","52"
"USC00045795","MONTEREY, CA US","2019-03-05","0.22","59","49","59"
"USC00045795","MONTEREY, CA US","2019-03-06","0.39","61","52","52"
"USC00045795","MONTEREY, CA US","2019-03-07","0.21","53","47","47"
"USC00045795","MONTEREY, CA US","2019-03-08","0.16","55","42","49"
"USC00045795","MONTEREY, CA US","2019-03-09","0.40","54","41","46"
"USC00045795","MONTEREY, CA US","2019-03-10","0.16","58","42","54"
"USC00045795","MONTEREY, CA US","2019-03-11","0.04","62","40","57"
"USC00045795","MONTEREY, CA US","2019-03-12","0.00","59","47",
"USC00045795","MONTEREY, CA US","2019-03-13","0.00","60","43",
"USC00045795","MONTEREY, CA US","2019-03-14","0.00","64","40",
