,yw,Mode,ORegionDAT,DRegionDAT,approx_cost,sanitized_cost,prcp,tavg,tmax,tmin,diesel_price,deaths,pandemic,volume,new_deaths,tmax_lag_12,tmax_lag_8,tmax_lag_4,tmax_lag_2,prcp_lag_12,prcp_lag_8,prcp_lag_4,prcp_lag_2,unemployment,ppi
1,2017 W01,R,CA_FRS,IL_CHI,1.56540082,1.56540082,0.308793103,49.42857143,56.85714286,42.71428571,2.586,0,0,17.3320888,0,NA,NA,NA,NA,NA,NA,NA,NA,4.7,0.4
2,2017 W02,R,CA_FRS,IL_CHI,1.574480536,1.574480536,0.35734375,49.85714286,53.14285714,45.42857143,2.597,0,0,19.02734352,0,NA,NA,NA,NA,NA,NA,NA,NA,4.7,0.4
3,2017 W03,R,CA_FRS,IL_CHI,1.547266629,1.547266629,0.238032787,47.71428571,54.85714286,40.71428571,2.585,0,0,26.35338301,0,NA,NA,NA,54,NA,NA,NA,0.297688269,4.7,0.4
4,2017 W04,R,CA_FRS,IL_CHI,1.490165134,1.490165134,0.078070175,44.71428571,55.85714286,34.42857143,2.569,0,0,17.88042906,0,NA,NA,NA,55.35714286,NA,NA,NA,0.158051481,4.7,0.4
5,2017 W05,R,CA_FRS,IL_CHI,1.462799567,1.462799567,0.114576271,53.42857143,63.85714286,44.28571429,2.562,0,0,22.70251385,0,NA,NA,56.92857143,59.85714286,NA,NA,0.197005746,0.096323223,4.6,0.1
6,2017 W06,R,CA_FRS,IL_CHI,1.450093295,1.450093295,0.175692308,57,61.85714286,51.71428571,2.558,0,0,18.51250796,0,NA,NA,59.10714286,62.85714286,NA,NA,0.151592885,0.14513429,4.6,0.1
7,2017 W07,R,CA_FRS,IL_CHI,1.420316817,1.420316817,0.173214286,55,63.57142857,47.14285714,2.565,0,0,23.42144491,0,NA,NA,61.28571429,62.71428572,NA,NA,0.13538826,0.174453297,4.6,0.1
8,2017 W08,R,CA_FRS,IL_CHI,1.520520675,1.520520675,0.12779661,50.14285714,59,40.85714286,2.572,0,0,16.81464362,0,NA,NA,62.07142857,61.28571429,NA,NA,0.147819869,0.150505448,4.6,0.1
9,2017 W09,R,CA_FRS,IL_CHI,1.402881514,1.402881514,0.031166667,51.57142857,62.85714286,39.28571429,2.577,0,0,23.19069393,0,NA,59.375,61.82142857,60.92857143,NA,0.161986607,0.126967468,0.079481639,4.4,0
10,2017 W10,R,CA_FRS,IL_CHI,1.441905127,1.441905127,0.049444444,55.28571429,69,43.57142857,2.579,0,0,19.29477756,0,NA,61.35714286,63.60714286,65.92857143,NA,0.123499194,0.095405502,0.040305555,4.4,0
11,2017 W11,R,CA_FRS,IL_CHI,1.465705685,1.465705685,0,66.57142857,80.85714286,53.14285714,2.564,0,0,30.03159969,0,NA,64.60714286,67.92857143,74.92857143,NA,0.093745095,0.05210193,0.024722222,4.4,0
12,2017 W12,R,CA_FRS,IL_CHI,1.461992018,1.461992018,0.116865672,58.14285714,66.42857143,50.57142857,2.539,0,0,28.16709507,0,NA,65.92857143,69.78571429,73.64285715,NA,0.098594532,0.049369196,0.058432836,4.4,0
13,2017 W13,R,CA_FRS,IL_CHI,1.47395048,1.47395048,0.0095,59.14285714,71.28571429,47.42857143,2.532,0,0,23.17168563,0,63.54761905,66.85714286,71.89285715,68.85714286,0.122641914,0.085459998,0.043952529,0.063182836,4.5,0.1
14,2017 W14,R,CA_FRS,IL_CHI,1.576948284,1.576948284,0.17983871,61.28571429,71.57142857,49.42857143,2.556,0,0,31.42175373,0,65.08333334,68.07142857,72.53571429,71.42857143,0.107849828,0.085978299,0.076551096,0.094669355,4.5,0.2
15,2017 W15,R,CA_FRS,IL_CHI,1.656570988,1.656570988,0.085892857,59.28571429,72,47.71428571,2.582,0,0,29.57536414,0,66.51190476,69.125,70.32142857,71.78571429,0.0951715,0.07506312,0.09802431,0.132865784,4.5,0.2
