"","yw","Mode","ORegionDAT","DRegionDAT","approx_cost","sanitized_cost","prcp","tavg","tmax","tmin","diesel_price","deaths","pandemic","volume","new_deaths","tmax_lag_12","tmax_lag_8","tmax_lag_4","tmax_lag_2","prcp_lag_12","prcp_lag_8","prcp_lag_4","prcp_lag_2"
"1","2017 W01","R","CA_FRS","IL_CHI",1.56540082,1.56540082,0.308793103,49.42857143,56.85714286,42.71428571,2.586,0,0,17.3320888,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017 W02","R","CA_FRS","IL_CHI",1.574480536,1.574480536,0.35734375,49.85714286,53.14285714,45.42857143,2.597,0,0,19.02734352,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017 W03","R","CA_FRS","IL_CHI",1.547266629,1.547266629,0.238032787,47.71428571,54.85714286,40.71428571,2.585,0,0,26.35338301,0,NA,NA,NA,54,NA,NA,NA,0.2976882685
"4","2017 W04","R","CA_FRS","IL_CHI",1.490165134,1.490165134,0.078070175,44.71428571,55.85714286,34.42857143,2.569,0,0,17.88042906,0,NA,NA,NA,55.35714286,NA,NA,NA,0.158051481
"5","2017 W05","R","CA_FRS","IL_CHI",1.462799567,1.462799567,0.114576271,53.42857143,63.85714286,44.28571429,2.562,0,0,22.70251385,0,NA,NA,56.92857143,59.85714286,NA,NA,0.19700574575,0.096323223
"6","2017 W06","R","CA_FRS","IL_CHI",1.450093295,1.450093295,0.175692308,57,61.85714286,51.71428571,2.558,0,0,18.51250796,0,NA,NA,59.10714286,62.85714286,NA,NA,0.15159288525,0.1451342895
"7","2017 W07","R","CA_FRS","IL_CHI",1.420316817,1.420316817,0.173214286,55,63.57142857,47.14285714,2.565,0,0,23.42144491,0,NA,NA,61.2857142875,62.714285715,NA,NA,0.13538826,0.174453297
"8","2017 W08","R","CA_FRS","IL_CHI",1.520520675,1.520520675,0.12779661,50.14285714,59,40.85714286,2.572,0,0,16.81464362,0,NA,NA,62.0714285725,61.285714285,NA,NA,0.14781986875,0.150505448
"9","2017 W09","R","CA_FRS","IL_CHI",1.402881514,1.402881514,0.031166667,51.57142857,62.85714286,39.28571429,2.577,0,0,23.19069393,0,NA,59.37500000125,61.8214285725,60.92857143,NA,0.16198660675,0.12696746775,0.0794816385
"10","2017 W10","R","CA_FRS","IL_CHI",1.441905127,1.441905127,0.049444444,55.28571429,69,43.57142857,2.579,0,0,19.29477756,0,NA,61.35714285875,63.6071428575,65.92857143,NA,0.1234991935,0.09540550175,0.0403055554999999
