"","Mode","ORegionDAT","DRegionDAT","yw","sanitized_cost","approx_cost"
"1","R","CA_FRS","IL_CHI",2017 W01,1.56540082001864,1.56540082001864
"2","R","CA_FRS","IL_CHI",2017 W02,1.5744805359508,1.5744805359508
"3","R","CA_FRS","IL_CHI",2017 W03,1.54726662934962,1.54726662934962
"4","R","CA_FRS","IL_CHI",2017 W04,1.49016513358857,1.49016513358857
"5","R","CA_FRS","IL_CHI",2017 W05,1.46279956708675,1.46279956708675
"6","R","CA_FRS","IL_CHI",2017 W06,1.45009329533344,1.45009329533344
"7","R","CA_FRS","IL_CHI",2017 W07,1.42031681681231,1.42031681681231
"8","R","CA_FRS","IL_CHI",2017 W08,1.52052067467133,1.52052067467133
"9","R","CA_FRS","IL_CHI",2017 W09,1.4028815143076,1.4028815143076
"10","R","CA_FRS","IL_CHI",2017 W10,1.44190512675875,1.44190512675875
"11","R","CA_FRS","IL_CHI",2017 W11,1.4657056851083,1.4657056851083
"12","R","CA_FRS","IL_CHI",2017 W12,1.4619920179992,1.4619920179992
"13","R","CA_FRS","IL_CHI",2017 W13,1.47395048017498,1.47395048017498
"14","R","CA_FRS","IL_CHI",2017 W14,1.57694828428873,1.57694828428873
"15","R","CA_FRS","IL_CHI",2017 W15,1.6565709884483,1.6565709884483
"16","R","CA_FRS","IL_CHI",2017 W16,1.68542753600213,1.68542753600213
"17","R","CA_FRS","IL_CHI",2017 W17,1.65701256690788,1.65701256690788
"18","R","CA_FRS","IL_CHI",2017 W18,1.61738171018344,1.61738171018344
"19","R","CA_FRS","IL_CHI",2017 W19,1.72279317996248,1.72279317996248
"20","R","CA_FRS","IL_CHI",2017 W20,1.73428816175746,1.73428816175746
"21","R","CA_FRS","IL_CHI",2017 W21,1.95023088467082,1.95023088467082
"22","R","CA_FRS","IL_CHI",2017 W22,1.95148912733891,1.95148912733891
"23","R","CA_FRS","IL_CHI",2017 W23,2.15364146282011,2.15364146282011
"24","R","CA_FRS","IL_CHI",2017 W24,2.04996519392843,2.04996519392843
"25","R","CA_FRS","IL_CHI",2017 W25,1.95108596182089,1.95108596182089
"26","R","CA_FRS","IL_CHI",2017 W26,1.9309689183304,1.9309689183304
"27","R","CA_FRS","IL_CHI",2017 W27,1.94445683551885,1.94445683551885
"28","R","CA_FRS","IL_CHI",2017 W28,1.84335882430107,1.84335882430107
"29","R","CA_FRS","IL_CHI",2017 W29,1.83445567857199,1.83445567857199
"30","R","CA_FRS","IL_CHI",2017 W30,1.84084767572103,1.84084767572103
"31","R","CA_FRS","IL_CHI",2017 W31,1.78191362643213,1.78191362643213
"32","R","CA_FRS","IL_CHI",2017 W32,1.771574049772,1.771574049772
"33","R","CA_FRS","IL_CHI",2017 W33,NA,1.7474272035635
