"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-01","0.07","0.9","1.2","35","37","26",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-02","0.04","0.8","2.0","26","26","21",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-03","0.00","0.0","1.2","20","21","16",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-04","0.00","0.1","1.2","15","16","2",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-05","0.00","0.0","1.2","6","16","0",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-06","0.00","0.0","1.2","8","18","0",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-07","0.11","1.4","2.0","6","15","-1",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-08","0.20","0.3","1.2","15","21","15",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-09","0.13","1.5","3.1","26","41","21",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-10","0.38","4.5","7.1","30","36","17",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-11","0.13","2.9","7.1","18","18","2",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-12","0.00","0.0","7.1","4","12","-6",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-13","0.00","0.0","7.1","0","10","-8",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-14","0.00","0.3","7.1","3","12","-2",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-15","0.00","0.5","7.1","9","15","0",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-16","0.00","0.1","7.1","6","15","1",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-17","0.14","0.0","5.9","6","24","0",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-18","0.12","0.0","1.2","28","48","21",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-19","0.01","0.0","0.0","42","47","36",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-20","0.00","0.0","0.0","41","46","32",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-21","0.00","0.0","0.0","36","45","31",
"USW00024155","PENDLETON E OR REGIONAL AIRPORT, OR US","2017-01-22","0.00","0.0","0.0","42","47","31",
