"","commodity","farm_price","chicago_retail","yw"
"1","GL",0.3,1.38,2017 W01
"2","GL",0.3,1.48,2017 W02
"3","GL",0.31,1.23,2017 W03
"4","GL",0.34,1.3,2017 W04
"5","GL",0.41,1.23,2017 W05
"6","GL",0.62,1.3,2017 W06
"7","GL",0.75,1.25,2017 W07
"8","GL",0.64,1.83,2017 W08
"9","GL",0.6,1.5,2017 W09
"10","GL",0.7,1.45,2017 W10
"11","GL",1.04,1.5,2017 W11
"12","GL",1.73,1.5,2017 W12
"13","GL",2.14,1.79,2017 W13
"14","GL",2.14,1.83,2017 W14
"15","GL",2.08,2.26,2017 W15
"16","GL",1.14,1.83,2017 W16
"17","GL",0.52,1.91,2017 W17
"18","GL",0.45,1.83,2017 W18
"19","GL",0.39,1.91,2017 W19
"20","GL",0.33,1.83,2017 W20
"21","GL",0.29,1.71,2017 W21
"22","GL",0.29,1.91,2017 W22
"23","GL",0.29,1.83,2017 W23
"24","GL",0.31,1.91,2017 W24
"25","GL",0.31,1.83,2017 W25
"26","GL",0.32,1.91,2017 W26
"27","GL",0.32,1.42,2017 W27
"28","GL",0.33,1.38,2017 W28
"29","GL",0.29,1.33,2017 W29
"30","GL",0.29,1.67,2017 W30
"31","GL",0.29,1.58,2017 W31
"32","GL",0.29,1.67,2017 W32
"33","GL",0.29,1.58,2017 W33
"34","GL",0.31,1.23,2017 W34
"35","GL",0.41,1.67,2017 W35
"36","GL",0.38,1.58,2017 W36
"37","GL",0.32,1.62,2017 W37
"38","GL",0.36,1.75,2017 W38
"39","GL",0.4,1.69,2017 W39
"40","GL",0.43,1.61,2017 W40
"41","GL",0.41,1.75,2017 W41
"42","GL",0.36,1.75,2017 W42
"43","GL",0.37,1.69,2017 W43
"44","GL",0.36,1.61,2017 W44
"45","GL",0.35,1.69,2017 W45
"46","GL",0.31,1.75,2017 W46
"47","GL",0.3,1.68,2017 W47
"48","GL",0.32,1.87,2017 W48
"49","GL",0.34,1.92,2017 W49
"50","GL",1.26,2.41,2017 W50
"51","GL",0.33,1.92,2017 W51
"52","GL",0.34,1.88,2017 W52
"53","GL",0.35,1.73,2018 W01
"54","GL",0.3,1.65,2018 W02
"55","GL",0.29,1.73,2018 W03
"56","GL",0.29,1.65,2018 W04
"57","GL",0.3,1.61,2018 W05
"58","GL",0.3,1.68,2018 W06
"59","GL",NA,NA,2018 W07
"60","GL",NA,NA,2018 W08
"61","GL",NA,NA,2018 W09
"62","GL",NA,NA,2018 W10
"63","GL",NA,NA,2018 W11
"64","GL",NA,NA,2018 W12
"65","GL",NA,NA,2018 W13
"66","GL",NA,NA,2018 W14
"67","GL",NA,NA,2018 W15
"68","GL",NA,NA,2018 W16
"69","GL",NA,NA,2018 W17
"70","GL",NA,NA,2018 W18
"71","GL",NA,NA,2018 W19
"72","GL",NA,NA,2018 W20
"73","GL",NA,NA,2018 W21
"74","GL",NA,NA,2018 W22
"75","GL",0.3,1.71,2018 W23
"76","GL",0.3,1.63,2018 W24
"77","GL",0.29,1.71,2018 W25
"78","GL",0.3,1.63,2018 W26
"79","GL",0.33,1.71,2018 W27
"80","GL",0.34,1.59,2018 W28
"81","GL",0.32,1.71,2018 W29
"82","GL",0.3,1.59,2018 W30
"83","GL",0.3,1.48,2018 W31
"84","GL",0.34,1.63,2018 W32
"85","GL",0.35,1.78,2018 W33
"86","GL",0.34,1.57,2018 W34
"87","GL",0.35,1.63,2018 W35
