Commodity,Record Date,Farm Price,Atlanta Retail,Chicago Retail,Los Angeles Retail,New York Retail,Average Spread
Green Leaf Lettuce,2019-05-19,$0.31,$1.72,$1.70,$1.69,$1.71,450.00%
Green Leaf Lettuce,2019-05-12,$0.35,$1.72,$1.70,$1.69,$1.71,387.14%
Green Leaf Lettuce,2019-05-05,$0.34,$1.84,$1.71,$1.69,$1.85,421.32%
Green Leaf Lettuce,2019-04-28,$0.35,$1.84,$1.70,$1.84,$2.07,432.14%
Green Leaf Lettuce,2019-04-21,$0.43,$1.84,$1.77,$1.84,$2.07,337.21%
Green Leaf Lettuce,2019-04-14,$0.43,$2.59,$1.82,$1.92,$1.80,372.67%
Green Leaf Lettuce,2019-04-07,$0.39,$2.32,$1.93,$1.99,$1.81,416.03%
Green Leaf Lettuce,2019-03-31,$0.34,$2.59,$1.80,$1.99,$1.95,512.50%
Green Leaf Lettuce,2019-03-24,$0.34,$2.29,$1.93,$1.99,$1.92,497.79%
Green Leaf Lettuce,2019-03-17,$0.38,$2.59,$1.78,$1.99,$1.98,448.68%
Green Leaf Lettuce,2019-03-10,$0.48,$2.32,$1.93,$1.74,$1.98,315.10%
Green Leaf Lettuce,2019-03-03,$0.65,$2.32,$1.78,$1.74,$1.95,199.62%
Green Leaf Lettuce,2019-02-24,$0.82,$2.32,$1.93,$1.74,$1.87,139.63%
Green Leaf Lettuce,2019-02-17,$0.65,$2.32,$1.93,$1.74,$1.98,206.54%
Green Leaf Lettuce,2019-02-10,$0.42,$2.32,$1.90,$1.74,$1.91,368.45%
Green Leaf Lettuce,2019-02-03,$0.38,$2.32,$1.90,$1.74,$1.95,420.39%
Green Leaf Lettuce,2019-01-27,$0.41,$2.32,$1.75,$1.74,$1.92,371.34%
Green Leaf Lettuce,2019-01-20,$0.51,$2.32,$1.75,$1.74,$1.92,278.92%
Green Leaf Lettuce,2019-01-13,$0.66,$2.32,$1.85,$1.74,$1.95,197.73%
Green Leaf Lettuce,2019-01-06,$0.64,$2.59,$1.84,$1.74,$1.95,217.19%
Green Leaf Lettuce,2018-12-30,$0.61,$2.22,$1.84,$1.74,$1.95,217.62%
Green Leaf Lettuce,2018-12-23,$0.64,$2.59,$1.92,$1.67,$2.36,233.59%
Green Leaf Lettuce,2018-12-16,$0.90,$2.15,$1.92,$1.74,$2.36,126.94%
Green Leaf Lettuce,2018-12-09,$2.03,$2.09,$1.72,$1.74,$2.33,-2.96%
Green Leaf Lettuce,2018-12-02,$2.04,$2.49,$1.72,$1.92,$1.91,-1.47%
Green Leaf Lettuce,2018-11-28,$0.68,$1.74,$1.68,$1.42,$1.81,144.49%
Green Leaf Lettuce,2018-11-25,$1.84,$1.99,$1.75,$1.42,$1.91,-3.94%
