,commodity,yw,farm_price,chicago_retail,cluster_1,cluster_2,cluster_3
1,GL,2017 W01,0.3,1.38,0,0,1
2,GL,2017 W02,0.3,1.48,0,0,1
3,GL,2017 W03,0.31,1.23,0,0,1
4,GL,2017 W04,0.34,1.3,0,0,1
5,GL,2017 W05,0.41,1.23,0,0,1
6,GL,2017 W06,0.62,1.3,0,0,1
7,GL,2017 W07,0.75,1.25,0,0,1
8,GL,2017 W08,0.64,1.83,0,0,1
9,GL,2017 W09,0.6,1.5,0,0,1
10,GL,2017 W10,0.7,1.45,0,0,1
11,GL,2017 W11,1.04,1.5,0,0,1
12,GL,2017 W12,1.73,1.5,1,0,0
13,GL,2017 W13,2.14,1.79,1,0,0
14,GL,2017 W14,2.14,1.83,1,0,0
15,GL,2017 W15,2.08,2.26,1,0,0
16,GL,2017 W16,1.14,1.83,1,0,0
17,GL,2017 W17,0.52,1.91,0,1,0
18,GL,2017 W18,0.45,1.83,0,1,0
19,GL,2017 W19,0.39,1.91,0,0,1
20,GL,2017 W20,0.33,1.83,0,1,0
21,GL,2017 W21,0.29,1.71,0,1,0
22,GL,2017 W22,0.29,1.91,0,1,0
23,GL,2017 W23,0.29,1.83,0,1,0
24,GL,2017 W24,0.31,1.91,0,1,0
25,GL,2017 W25,0.31,1.83,0,1,0
26,GL,2017 W26,0.32,1.91,0,1,0
27,GL,2017 W27,0.32,1.42,0,0,1
28,GL,2017 W28,0.33,1.38,0,0,1
29,GL,2017 W29,0.29,1.33,0,0,1
30,GL,2017 W30,0.29,1.67,0,0,1
31,GL,2017 W31,0.29,1.58,0,0,1
32,GL,2017 W32,0.29,1.67,0,0,1
33,GL,2017 W33,0.29,1.58,0,0,1
34,GL,2017 W34,0.31,1.23,0,0,1
35,GL,2017 W35,0.41,1.67,0,0,1
36,GL,2017 W36,0.38,1.58,0,0,1
37,GL,2017 W37,0.32,1.62,0,0,1
38,GL,2017 W38,0.36,1.75,0,1,0
39,GL,2017 W39,0.4,1.69,0,0,1
40,GL,2017 W40,0.43,1.61,0,0,1
41,GL,2017 W41,0.41,1.75,0,0,1
42,GL,2017 W42,0.36,1.75,0,1,0
43,GL,2017 W43,0.37,1.69,0,0,1
44,GL,2017 W44,0.36,1.61,0,1,0
45,GL,2017 W45,0.35,1.69,0,0,1
46,GL,2017 W46,0.31,1.75,0,1,0
47,GL,2017 W47,0.3,1.68,0,1,0
48,GL,2017 W48,0.32,1.87,0,0,1
49,GL,2017 W49,0.34,1.92,0,1,0
50,GL,2017 W50,1.26,2.41,0,0,1
51,GL,2017 W51,0.33,1.92,0,1,0
52,GL,2017 W52,0.34,1.88,0,1,0
53,GL,2018 W01,0.35,1.73,0,0,1
54,GL,2018 W02,0.3,1.65,0,1,0
55,GL,2018 W03,0.29,1.73,0,0,1
56,GL,2018 W04,0.29,1.65,0,1,0
57,GL,2018 W05,0.3,1.61,0,1,0
58,GL,2018 W06,0.3,1.68,0,0,1
59,GL,2018 W07,NA,NA,0,0,1
60,GL,2018 W08,NA,NA,0,0,1
61,GL,2018 W09,NA,NA,0,0,1
62,GL,2018 W10,NA,NA,0,1,0
63,GL,2018 W11,NA,NA,0,0,1
64,GL,2018 W12,NA,NA,0,0,1
65,GL,2018 W13,NA,NA,0,0,1
66,GL,2018 W14,NA,NA,0,0,1
67,GL,2018 W15,NA,NA,0,1,0
68,GL,2018 W16,NA,NA,0,1,0
69,GL,2018 W17,NA,NA,0,1,0
70,GL,2018 W18,NA,NA,0,0,1
71,GL,2018 W19,NA,NA,0,0,1
72,GL,2018 W20,NA,NA,0,0,1
73,GL,2018 W21,NA,NA,0,0,1
74,GL,2018 W22,NA,NA,0,0,1
75,GL,2018 W23,0.3,1.71,0,0,1
76,GL,2018 W24,0.3,1.63,0,0,1
77,GL,2018 W25,0.29,1.71,0,0,1
78,GL,2018 W26,0.3,1.63,0,0,1
79,GL,2018 W27,0.33,1.71,0,0,1
80,GL,2018 W28,0.34,1.59,0,0,1
81,GL,2018 W29,0.32,1.71,0,0,1
82,GL,2018 W30,0.3,1.59,0,0,1
83,GL,2018 W31,0.3,1.48,0,0,1
84,GL,2018 W32,0.34,1.63,0,0,1
85,GL,2018 W33,0.35,1.78,0,0,1
86,GL,2018 W34,0.34,1.57,0,0,1
87,GL,2018 W35,0.35,1.63,0,0,1
88,GL,2018 W36,0.35,1.71,0,0,1
89,GL,2018 W37,0.37,1.63,0,1,0
90,GL,2018 W38,0.56,1.71,0,0,1
91,GL,2018 W39,0.67,1.63,0,0,1
92,GL,2018 W40,0.58,1.71,0,0,1
93,GL,2018 W41,0.43,1.63,0,0,1
94,GL,2018 W42,0.45,1.71,0,0,1
95,GL,2018 W43,0.55,1.57,0,0,1
96,GL,2018 W44,0.66,1.63,0,0,1
97,GL,2018 W45,0.69,1.76,1,0,0
98,GL,2018 W46,NA,NA,1,0,0
99,GL,2018 W47,1.84,1.75,0,1,0
100,GL,2018 W48,1.36,1.7,0,1,0
101,GL,2018 W49,2.03,1.72,0,1,0
102,GL,2018 W50,0.9,1.92,0,1,0
103,GL,2018 W51,0.64,1.92,0,1,0
104,GL,2018 W52,0.61,1.84,0,1,0
105,GL,2019 W01,0.64,1.84,0,1,0
106,GL,2019 W02,0.66,1.85,0,1,0
107,GL,2019 W03,0.51,1.75,0,1,0
108,GL,2019 W04,0.41,1.75,0,1,0
109,GL,2019 W05,0.38,1.9,0,1,0
110,GL,2019 W06,0.42,1.9,0,1,0
111,GL,2019 W07,0.65,1.93,0,1,0
112,GL,2019 W08,0.82,1.93,0,1,0
113,GL,2019 W09,0.65,1.78,0,1,0
114,GL,2019 W10,0.48,1.93,0,1,0
115,GL,2019 W11,0.38,1.78,0,1,0
116,GL,2019 W12,0.34,1.93,0,1,0
117,GL,2019 W13,0.34,1.8,0,1,0
118,GL,2019 W14,0.39,1.93,0,0,1
119,GL,2019 W15,0.43,1.82,0,0,1
120,GL,2019 W16,0.43,1.77,0,0,1
121,GL,2019 W17,0.35,1.7,0,0,1
122,GL,2019 W18,0.34,1.71,0,0,1
123,GL,2019 W19,0.35,1.7,0,0,1
124,GL,2019 W20,0.31,1.7,0,0,1
125,IC,2017 W01,0.3,1.44,0,0,1
126,IC,2017 W02,0.31,1.04,0,0,1
127,IC,2017 W03,0.32,1.09,0,0,1
128,IC,2017 W04,0.42,1.19,0,0,1
129,IC,2017 W05,0.59,1.44,0,0,1
130,IC,2017 W06,0.78,1.44,0,0,1
131,IC,2017 W07,0.69,1.44,0,0,1
132,IC,2017 W08,0.47,1.44,0,0,1
133,IC,2017 W09,0.34,1.44,0,0,1
134,IC,2017 W10,0.49,1.44,0,0,1
135,IC,2017 W11,0.72,1.44,0,0,1
136,IC,2017 W12,0.86,1.44,1,0,0
137,IC,2017 W13,1.41,1.44,1,0,0
138,IC,2017 W14,1.82,1.44,1,0,0
139,IC,2017 W15,1.87,1.92,1,0,0
140,IC,2017 W16,1.71,1.54,1,0,0
141,IC,2017 W17,0.66,1.66,0,1,0
142,IC,2017 W18,0.44,1.79,0,1,0
143,IC,2017 W19,0.61,1.79,0,0,1
144,IC,2017 W20,0.36,1.79,0,1,0
145,IC,2017 W21,0.51,1.79,0,1,0
146,IC,2017 W22,0.53,1.41,0,1,0
147,IC,2017 W23,0.46,1.29,0,1,0
148,IC,2017 W24,0.43,1.22,0,1,0
149,IC,2017 W25,0.45,1.29,0,1,0
150,IC,2017 W26,0.5,1.24,0,1,0
151,IC,2017 W27,0.61,1.29,0,0,1
152,IC,2017 W28,0.52,1.16,0,0,1
153,IC,2017 W29,0.48,1.31,0,0,1
154,IC,2017 W30,0.38,1.31,0,0,1
155,IC,2017 W31,0.34,1.31,0,0,1
156,IC,2017 W32,0.42,1.31,0,0,1
157,IC,2017 W33,0.48,1.31,0,0,1
158,IC,2017 W34,0.38,1.31,0,0,1
159,IC,2017 W35,0.36,1.41,0,0,1
160,IC,2017 W36,0.36,1.39,0,0,1
161,IC,2017 W37,0.31,1.18,0,0,1
162,IC,2017 W38,0.92,1.34,0,1,0
163,IC,2017 W39,1.13,1.31,0,0,1
164,IC,2017 W40,1.56,1.31,0,0,1
165,IC,2017 W41,1.23,1.31,0,0,1
166,IC,2017 W42,0.5,1.61,0,1,0
167,IC,2017 W43,0.43,1.66,0,0,1
168,IC,2017 W44,0.34,1.74,0,1,0
169,IC,2017 W45,0.33,1.28,0,0,1
170,IC,2017 W46,0.31,1.41,0,1,0
171,IC,2017 W47,0.32,1.41,0,1,0
172,IC,2017 W48,0.33,1.23,0,0,1
173,IC,2017 W49,0.39,1.41,0,1,0
174,IC,2017 W50,0.35,1.49,0,0,1
175,IC,2017 W51,0.35,1.44,0,1,0
